id;TARGA;GENERE MERCEOLOGICO;ANNO_ISTITUZIONE;INDIRIZZO;CIVICO;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
161;Melegari e Costa Montenapoleone;Pellicceria;1945;Via Montenapoleone;15;1;1;DUOMO;9.19480500000003;45.468495000000075;(45.468495000000075, 9.19480500000003)
162;Merù;Gioielleria Orologeria;1959;Via Solferino;3;1;2;BRERA;9.187204500000064;45.47333700000007;(45.47333700000007, 9.187204500000064)
163;Messaggerie Musicali;Libri, musica, video;1936;Gall. Del Corso;2;1;1;DUOMO;9.194976000000054;45.46485900000005;(45.46485900000005, 9.194976000000054)
164;Milanfisa;Strumenti musicali;1950;Via Paolo da Cannobio;2;1;1;DUOMO;9.190993500000047;45.462087000000054;(45.462087000000054, 9.190993500000047)
165;Miracoli Romeo & Figlio;Argenteria;1912;Via Burigozzo;3;1;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.185913000000028;45.45331200000004;(45.45331200000004, 9.185913000000028)
166;Mitarotonda;Strumenti musicali;1888;Via Conservatorio;17;1;4;GUASTALLA;9.202158000000054;45.46700100000004;(45.46700100000004, 9.202158000000054)
167;Moda Torinese di Fumagalli;Pellicceria con laboratorio;1933;Corso Garibaldi;89;1;2;BRERA;9.18407250000007;45.476739000000066;(45.476739000000066, 9.18407250000007)
168;Moroni gomma;Articoli gomma, plastica;1919;C.so Matteotti;14;1;1;DUOMO;9.196096500000067;45.46680300000003;(45.46680300000003, 9.196096500000067)
169;Motta Duomo;Bar Caffetteria;1928;Via Ugo Foscolo;1;1;1;DUOMO;9.190656000000047;45.46503900000005;(45.46503900000005, 9.190656000000047)
170;Nano Bleu;Giocattoli;1949;Corso Vittorio Emanuele II;15;1;1;DUOMO;9.196047000000021;45.465678000000025;(45.465678000000025, 9.196047000000021)
171;Noli Articoli per fumatori;Tabacchi;1927;Gall. Vittorio Emanuele II;82;1;1;DUOMO;9.190007877000028;45.465624467000055;(45.465624467000055, 9.190007877000028)
172;O. Lorenzi;Coltelleria;1919;Corso Magenta;1;1;1;DUOMO;9.180153000000075;45.46556100000004;(45.46556100000004, 9.180153000000075)
173;Old America;Antiquariato e oggetti d'arte;1954;Via Bagutta;9;1;1;DUOMO;9.196443000000045;45.46770300000003;(45.46770300000003, 9.196443000000045)
174;Old Fashion Cafè;Dancing, ristorante;1933;V.le Alemagna;6;1;8;PARCO SEMPIONE;9.173569500000042;45.47221200000007;(45.47221200000007, 9.173569500000042)
175;Oreficeria Tassan;Laboratorio Artigiano Oreficeria Orologeria;1963;Via Conca del Naviglio;18;1;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.17720550000007;45.45712800000007;(45.45712800000007, 9.17720550000007)
176;Oreficeria Lupetta;Gioielleria Oreficeria;1934;Via Lupetta;5;1;1;DUOMO;9.18656100000004;45.46184400000004;(45.46184400000004, 9.18656100000004)
177;Oreficeria Piccolo;Oreficeria Orologeria;1918;Via Vincenzo Monti;34;1;7;MAGENTA - S. VITTORE;9.171216000000072;45.46953000000008;(45.46953000000008, 9.171216000000072)
178;Ornella di Albani Maria Vittoria;Bigiotteria artistica;1944;Via E. De Amicis;40;1;1;DUOMO;9.176305500000069;45.45987300000007;(45.45987300000007, 9.176305500000069)
179;Orologeria Giovanzana;Orologeria, oreficeria, riparazioni;1948;Corso di Porta Romana;40;1;1;DUOMO;9.191358000000037;45.45868500000006;(45.45868500000006, 9.191358000000037)
180;Orologeria in Milano Grimoldi;Orologeria, oreficeria;1867;Via Manzoni;39;1;2;BRERA;9.193635000000029;45.47111400000006;(45.47111400000006, 9.193635000000029)
181;Orologeria Luigi Verga;Orologeria;1947;Via Dogana;3;1;1;DUOMO;9.188793000000032;45.46323000000007;(45.46323000000007, 9.188793000000032)
182;Orologeria Zebedia;Riparazione e Vendita Orologi;1947;Via Zebedia;9;1;1;DUOMO;9.186867000000063;45.46069200000005;(45.46069200000005, 9.186867000000063)
183;Osteria la Pergola;Osteria;1610;Vicolo Santa Caterina;3;1;1;DUOMO;9.19218907100003;45.45860227500003;(45.45860227500003, 9.19218907100003)
184;Ottavio Re di Coletto;Merceria;1935;Via Bagutta;1;1;1;DUOMO;9.196920000000034;45.46733400000005;(45.46733400000005, 9.196920000000034)
185;Ottica Arnaldo Chierichetti;Ottica;1914;C.so di Porta Romana;74;1;5;PORTA VIGENTINA - PORTA LODOVICA;9.19449000000003;45.45674100000008;(45.45674100000008, 9.19449000000003)
186;Oxford Non Solo Cashmere;Abbigliamento;1947;Via Brera Matteotti;7;1;1;DUOMO;9.195925500000044;45.46698300000003;(45.46698300000003, 9.195925500000044)
187;Panificio Moderno;Panificio;1946;Via Canonica;67;1;69;SARPI;9.171796500000028;45.47998800000005;(45.47998800000005, 9.171796500000028)
188;Panificio pasticceria Lia;Panificio;1907;Via Cappuccio;22;1;1;DUOMO;9.179410500000074;45.46386000000007;(45.46386000000007, 9.179410500000074)
189;Panificio Troian;Panificio, pasticceria;1913;P.le Cantore;5;1;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.174474000000032;45.45543600000008;(45.45543600000008, 9.174474000000032)
190;Panzerotti Luini;Panificio;1888;via Santa Raedegonda;16;1;1;DUOMO;9.191443500000048;45.465813000000026;(45.465813000000026, 9.191443500000048)
191;Paride parrucche;Produzione artigianale parrucche;1937;Via San Prospero;4;1;2;BRERA;9.185715000000073;45.46609200000006;(45.46609200000006, 9.185715000000073)
192;Pasticceria Paradiso;Pasticceria;1949;C.so di P.ta Vigentina;10;1;5;PORTA VIGENTINA - PORTA LODOVICA;9.195534000000066;45.45539100000008;(45.45539100000008, 9.195534000000066)
193;Pasticceria Villa Caffetteria;Bar Pasticceria;1896;P.le Cadorna;9;1;7;MAGENTA - S. VITTORE;9.176413500000024;45.46767600000004;(45.46767600000004, 9.176413500000024)
194;Peck;Salumeria, gastronomia;1883;Via Spadari;9;1;1;DUOMO;9.187024500000064;45.463509000000045;(45.463509000000045, 9.187024500000064)
195;Pellicceria Lagori Francesco;Pellicceria e accessori;1944;Via G. Morone;3;1;1;DUOMO;9.191835000000026;45.46810800000003;(45.46810800000003, 9.191835000000026)
196;Pellicceria Primerose;Pellicceria e accessori;1950;Via San Prospero;1;1;2;BRERA;9.186012000000062;45.46598400000005;(45.46598400000005, 9.186012000000062)
197;Pintica d'arte orafa F.lli Martino;Oreficeria;1923;Via F. Sforza;1;1;4;GUASTALLA;9.198760500000049;45.46304100000003;(45.46304100000003, 9.198760500000049)
198;Pisa Orologeria;Riparazione orologi;1940;Via Montenapoleone;9;1;1;DUOMO;9.195097500000031;45.46824300000003;(45.46824300000003, 9.195097500000031)
199;Pizzeria di Porta Garibaldi;Ristorante - Pizzeria;1956;C.so Como;6;9;9;PORTA GARIBALDI - PORTA NUOVA;9.18733050000003;45.48158100000006;(45.48158100000006, 9.18733050000003)
200;Premiata pescheria Spadari;Pescheria;1933;via Hugo Victor;3;1;1;DUOMO;9.187254000000053;45.46377000000007;(45.46377000000007, 9.187254000000053)
201;Profumeria Mazzolari;Profumeria;1950;Corso Monforte;2;1;1;DUOMO;9.19823400000007;45.46672200000006;(45.46672200000006, 9.19823400000007)
202;Ravizza Sport;Abbigliamento sport;1871;Via Hoepli;3;1;1;DUOMO;9.19218600000005;45.46625400000005;(45.46625400000005, 9.19218600000005)
203;Renna sport;Abbigliamento;1927;Piazza Diaz;1;1;1;DUOMO;9.189998246000073;45.46234410900007;(45.46234410900007, 9.189998246000073)
204;Rimoldi Ottico in Milano;Ottica;1907;Viale G. D'Annunzio;9;1;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.175554000000034;45.45457200000004;(45.45457200000004, 9.175554000000034)
205;Rinaldi gioielli;Oreficeria, orologeria, gioielleria;1959;Via Correnti Cesare;15;1;1;DUOMO;9.179451000000029;45.45945900000004;(45.45945900000004, 9.179451000000029)
206;Ristorante al Girarrosto da Cesarina;Ristorante;1937;C.so Venezia;31;1;4;GUASTALLA;9.199849500000028;45.46963800000003;(45.46963800000003, 9.199849500000028)
207;Ristorante al Mercante;Ristorante;1919;P.za Mercanti;17;1;1;DUOMO;9.187303500000041;45.46476900000005;(45.46476900000005, 9.187303500000041)
208;Ristorante da Bruno;Ristorante;1939;Via Gonzaga Maurizio;6;1;1;DUOMO;9.188770500000032;45.46151100000003;(45.46151100000003, 9.188770500000032)
209;Ristorante Don Lisander;Ristorante;1947;Via Manzoni;12/a;1;1;DUOMO;9.191547000000071;45.468855000000076;(45.468855000000076, 9.191547000000071)
210;Ristorante Papà Francesco;Ristorante;1946;Via Tommaso Marino;7;1;1;DUOMO;9.190327500000024;45.46633500000007;(45.46633500000007, 9.190327500000024)
211;Ristorante Quattro Mori;Ristorante;1949;Largo Maria Callas;1;1;1;DUOMO;9.181174500000054;45.46743300000003;(45.46743300000003, 9.181174500000054)
212;Ristorante Rigolo;Ristorante;1958;Via Solferino;11;1;2;BRERA;9.186889500000063;45.474912000000074;(45.474912000000074, 9.186889500000063)
213;Rivola rasoi elettrici;Coltelleria, elettrodomestici;1926;P.zza Morselli;3;1;69;SARPI;9.174685500000066;45.47874600000006;(45.47874600000006, 9.174685500000066)
214;Ronchetti Dolciumi;Dolciumi;1952;Viale Coni Zugna;39;1;7;MAGENTA - S. VITTORE;9.168624000000023;45.45775800000007;(45.45775800000007, 9.168624000000023)
215;Ronchi 78;Ristorante, bar;1934;Via San Maurilio;7;1;1;DUOMO;9.184810500000026;45.46166400000004;(45.46166400000004, 9.184810500000026)
216;Ruggeri;Abbigliamento, camiceria;1936;P.zza Duomo;21;1;1;DUOMO;9.189585000000022;45.464841000000035;(45.464841000000035, 9.189585000000022)
217;Sala del Cane;Animali domestici e accessori;1958;Via Niccolini G. Battista;2;1;69;SARPI;9.177601500000037;45.47937600000006;(45.47937600000006, 9.177601500000037)
218;Salone 900;Articoli per calzature;1911;Via Dogana;4;1;1;DUOMO;9.188721000000044;45.463347000000056;(45.463347000000056, 9.188721000000044)
219;Salumeria e Gastronomia Cerva;Salumeria;1956;Via Cerva;6;1;1;DUOMO;9.19839150000007;45.46377000000007;(45.46377000000007, 9.19839150000007)
220;Salumeria Lia;Salumeria;1907;Via Vigna;5;1;1;DUOMO;9.179550000000063;45.463986000000034;(45.463986000000034, 9.179550000000063)
221;Salvatore e Gianni;Parrucchiere per uomo;1929;Via Mazzini;20;1;1;DUOMO;9.188356500000054;45.461763000000076;(45.461763000000076, 9.188356500000054)
222;Sangalli;Orologeria, gioielleria;1900;Via Bergamini;7;1;1;DUOMO;9.19415250000003;45.46179900000004;(45.46179900000004, 9.19415250000003)
223;Savini;Ristorante;1911;Via Ugo Foscolo;5;1;1;DUOMO;9.190651500000058;45.46574100000004;(45.46574100000004, 9.190651500000058)
224;Scavia;Gioielleria;1919;Via della Spiga;9;1;1;DUOMO;9.197815500000047;45.469287000000065;(45.469287000000065, 9.197815500000047)
225;Schiavio e Bolzani;Tele metalliche;1920;Via C. Correnti;19;1;1;DUOMO;9.178960500000073;45.45927900000004;(45.45927900000004, 9.178960500000073)
226;Schreiber Gioielli;Gioielleria;1947;Via Rossari Luigi;5;1;1;DUOMO;9.194962500000031;45.470529000000056;(45.470529000000056, 9.194962500000031)
227;Silvia Merceria Foderami;Merceria;1924;Via Ferrari Gaudenzio;5;1;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.175621500000034;45.45576900000003;(45.45576900000003, 9.175621500000034)
228;Specialità dolciarie di Battimelli M. C.;Pasticceria;1940;Via Meravigli;14;1;1;DUOMO;9.182412000000056;45.46580400000005;(45.46580400000005, 9.182412000000056)
229;Stivaleria Savoia;Calzature;1960;Via Petrarca;7;1;7;MAGENTA - S. VITTORE;9.169380000000046;45.47115900000006;(45.47115900000006, 9.169380000000046)
230;Tabaccheria Santambrogio;Bar - Tabacchi;1958;Via Sarpi Frà Paolo;27;1;69;SARPI;9.175995000000057;45.48132900000007;(45.48132900000007, 9.175995000000057)
231;Taveggia;Pasticceria;1909;Via Visconti di Modrone;2;1;4;GUASTALLA;9.199089000000072;45.46335600000003;(45.46335600000003, 9.199089000000072)
232;Taverna Moriggi;Cantina con ristorante;1900;Via Morigi;8;1;1;DUOMO;9.180859500000054;45.463869000000045;(45.463869000000045, 9.180859500000054)
233;Teatro Nuovo;Teatro;1938;P.za San Babila;3;1;1;DUOMO;9.197149500000023;45.46657800000003;(45.46657800000003, 9.197149500000023)
234;Tintoria De Leo;Lavanderia;1955;Via Rovello;8;1;2;BRERA;9.184783185000072;45.46877041500005;(45.46877041500005, 9.184783185000072)
235;Tintoria Tina;Tintoria;1958;Via Morazzone;10;1;69;SARPI;9.173758500000076;45.48042900000007;(45.48042900000007, 9.173758500000076)
236;Toldo Gelato e Caffè;Bar Gelateria;1934;Via Giuseppe Sacchi;6;1;2;BRERA;9.18472950000006;45.469512000000066;(45.469512000000066, 9.18472950000006)
237;Torriani;Bottega del Carnevale;1943;Via Mercato;5;1;2;BRERA;9.183811500000047;45.47176200000007;(45.47176200000007, 9.183811500000047)
238;Trattoria al Matarel;Ristorante Trattoria;1962;Corso Garibaldi;75;1;2;BRERA;9.183640500000024;45.475632000000076;(45.475632000000076, 9.183640500000024)
239;Trattoria Bagutta;Ristorante;1924;Via Bagutta;14;1;1;DUOMO;9.196573500000056;45.46773900000005;(45.46773900000005, 9.196573500000056)
240;Trattoria La Colonna;Latteria, trattoria;1922;Via S. Maria alla Porta;10;1;1;DUOMO;9.181161000000031;45.46537200000006;(45.46537200000006, 9.181161000000031)
241;Trattoria La Veneta;Trattoria;1938;Via G. Giusti;14;1;69;SARPI;9.177102000000048;45.480222000000026;(45.480222000000026, 9.177102000000048)
242;Trattoria Milanese;Trattoria;1918;Via S. Marta;11;1;1;DUOMO;9.183717000000058;45.46306800000008;(45.46306800000008, 9.183717000000058)
243;Trattoria Torre di Pisa;Ristorante, trattoria;1951;Via Fiori Chiari;21-May;1;2;BRERA;9.184671000000037;45.47178900000006;(45.47178900000006, 9.184671000000037)
244;Tutto per lo sport;Articoli sportivi;1926;Via Torino;52;1;1;DUOMO;9.184315500000025;45.46100700000005;(45.46100700000005, 9.184315500000025)
245;Valigeria Marchino;Commercio di valigeria e pelletteria;1962;Via Urbano III;4;1;1;DUOMO;9.181669500000055;45.45896400000004;(45.45896400000004, 9.181669500000055)
246;Vetrerie di Empoli;Vetrerie, cristallerie, porcellane;1938;Via Pietro Verri;4;1;1;DUOMO;9.19435500000003;45.46753200000006;(45.46753200000006, 9.19435500000003)
247;Viganò;Bigiotteria, chincaglieria;1919;Gall. Vittorio Emanuele II;14;1;1;DUOMO;9.190007877000028;45.465624467000055;(45.465624467000055, 9.190007877000028)
248;Viganò;Bigiotteria, chincaglieria;1919;Via P. Da Cannobbio;39;1;1;DUOMO;9.189216000000044;45.46044000000006;(45.46044000000006, 9.189216000000044)
249;Villa;Oreficeria, gioielleria;1876;Via Manzoni;23;1;2;BRERA;9.19218150000006;45.469629000000054;(45.469629000000054, 9.19218150000006)
250;Volpe tutto bimbi;Mobili ed articoli per l'infanzia;1936;Via Lomazzo Paolo;4;1;69;SARPI;9.173452500000053;45.48092400000007;(45.48092400000007, 9.173452500000053)
251;Walter;Abbigliamento;1932;C.so Italia;6;1;1;DUOMO;9.187924500000065;45.45996300000007;(45.45996300000007, 9.187924500000065)
252;Zanda Serrature di Sicurezza;Ferramenta;1911;Via Rovello;18;1;2;BRERA;9.184023000000025;45.468252000000064;(45.468252000000064, 9.184023000000025)
253;Zucca in Galleria;Bar, ristorante;1867;P.zza Duomo;21;1;1;DUOMO;9.189585000000022;45.464841000000035;(45.464841000000035, 9.189585000000022)
254;a' Riccione;Ristorante;1926;Via Taramelli;70;2;12;MACIACHINI - MAGGIOLINA;9.195907500000033;45.49438800000007;(45.49438800000007, 9.195907500000033)
255;Acconciature Unisex Rossi;Parrucchiere;1965;Via Padova;186;2;19;PADOVA - TURRO - CRESCENZAGO;9.237028500000065;45.50128200000006;(45.50128200000006, 9.237028500000065)
256;Agenzia viaggi F.S. Italturismo;Biglietteria ferroviaria;1951;Galleria Carrozze Stazione Centrale;0;;;;;;
257;Antica Gelateria Sartori;Chiosco Gelateria;1942;Piazza Luigi di Savoia;snc;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.206807790000028;45.485719664000044;(45.485719664000044, 9.206807790000028)
258;Boutique Nella;Abbigliamento donna;1961;Viale Lunigiana;8;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.20555100000007;45.49157100000008;(45.49157100000008, 9.20555100000007)
259;Bresciani Arte e Restauro;Cornici e quadri;1932;Via Val Camonica;14;2;16;GORLA - PRECOTTO;9.227598831000023;45.509081071000026;(45.509081071000026, 9.227598831000023)
260;Caffe Panzera;Bar;1931;P.zza Duca D'Aosta;10;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.204439500000035;45.48379500000004;(45.48379500000004, 9.204439500000035)
261;Carrozzeria Barzaghi;Carrozzeria;1953;Via Keplero;33;2;12;MACIACHINI - MAGGIOLINA;9.194967000000076;45.493614000000036;(45.493614000000036, 9.194967000000076)
262;Cartoleria Gambardella;Cartoleria;1951;Viale Monza;61/A;2;20;LORETO - CASORETTO - NOLO;9.218524500000058;45.49290300000007;(45.49290300000007, 9.218524500000058)
263;Cartoleria Parolini Mariangela;Cartoleria;1949;Via Fabio Filzi;41;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.202752000000032;45.48776400000003;(45.48776400000003, 9.202752000000032)
264;Da Berti;Ristorante;1843;Via Algarotti;20;2;11;ISOLA;9.196659000000068;45.48853800000006;(45.48853800000006, 9.196659000000068)
265;Drogheria La Casa del Miele;Drogheria, pizzicheria;1929;V.le Zara;132;2;12;MACIACHINI - MAGGIOLINA;9.197833500000058;45.500688000000025;(45.500688000000025, 9.197833500000058)
266;Excelsior Hotel Gallia;Albergo;1932;P.zza Duca D'Aosta;9;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.201933000000054;45.485802000000035;(45.485802000000035, 9.201933000000054)
267;Farmacia Ponte Seveso;Farmacia;1888;Via Schiaparelli;4;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.205380000000048;45.489573000000064;(45.489573000000064, 9.205380000000048)
268;Ferramenta Bocchiola;Ferramenta;1920;Via Prospero Finzi;2;2;16;GORLA - PRECOTTO;9.221985000000075;45.504927000000066;(45.504927000000066, 9.221985000000075)
269;Frascolla riparazioni elettrodomestici;Materiale elettrico;1913;Via Plinio;22;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.214195500000073;45.478188000000046;(45.478188000000046, 9.214195500000073)
270;G. Cova & C.;Pasticceria;1930;V.le Monza;91;2;20;LORETO - CASORETTO - NOLO;9.219321000000036;45.49553100000003;(45.49553100000003, 9.219321000000036)
271;Il panificio di Pizzochero;Panificio;1925;P.zza Oberdan;2;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.205615310000042;45.47456095300004;(45.47456095300004, 9.205615310000042)
272;La Bottega del Gelato Cardelli;Gelateria;1964;Via Pergolesi;3;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.21316500000006;45.48346200000003;(45.48346200000003, 9.21316500000006)
273;Lanfranchi;Autoricambi;1961;Via Padova;157;2;19;PADOVA - TURRO - CRESCENZAGO;9.235377000000028;45.500391000000036;(45.500391000000036, 9.235377000000028)
274;Massaini gioielleria;Gioielleria, oreficeria, orologeria;1957;Via Schiaparelli;4;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.205380000000048;45.489573000000064;(45.489573000000064, 9.205380000000048)
275;Mattioli;Oggetti d'arte, lavorazione vetri;1935;Via Settembrini;43;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.20835900000003;45.48419100000007;(45.48419100000007, 9.20835900000003)
276;Ottica Valsecchi;Prodotti ottici e fotografici;1928;Via Ponte Seveso;19;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.204043500000068;45.48897000000005;(45.48897000000005, 9.204043500000068)
277;Panificio Piazza;Panificio, pasticceria;1940;via Luigi Settembrini;41;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.208228500000075;45.484065000000044;(45.484065000000044, 9.208228500000075)
278;Panificio Potenza;Panificio, pasticceria;1938;Viale Nazario Sauro;9;2;11;ISOLA;9.195169500000077;45.491805000000056;(45.491805000000056, 9.195169500000077)
279;Parrucchiere Covello;Barbiere;1961;Via Vittor Pisani;7;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.199377000000027;45.48144600000006;(45.48144600000006, 9.199377000000027)
280;Pasta Fresca, Granaglie e….;Pasta alimentari e granaglie;1931;Via Ponte Seveso;19;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.204043500000068;45.48897000000005;(45.48897000000005, 9.204043500000068)
281;Pasticceria G. Motta;Pasticceria, bar, gelateria;1957;Via Cislaghi;2;2;16;GORLA - PRECOTTO;9.225031500000057;45.51224400000007;(45.51224400000007, 9.225031500000057)
282;Pescheria Moderna;Pescheria;1958;Via Ponte Seveso;17;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.203877000000034;45.48880800000006;(45.48880800000006, 9.203877000000034)
283;Provini Longhi;Abbigliamento e accessori moto e auto;1923;Via Vitruvio;9;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.209106000000077;45.48096000000004;(45.48096000000004, 9.209106000000077)
284;Ristorante Giglio Rosso;Ristorante;1955;Piazza Luigi di Savoia;2;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.205524000000025;45.48449700000003;(45.48449700000003, 9.205524000000025)
285;Salumeria Gastronomia A. Fazzi;Salumeria Gastronomia Rosticceria;1953;Via Golfo degli Aranci;12;2;16;GORLA - PRECOTTO;9.235246500000073;45.505746000000045;(45.505746000000045, 9.235246500000073)
286;Trattoria Novelli;Trattoria;1927;Via Padova;344;2;19;PADOVA - TURRO - CRESCENZAGO;9.254380500000025;45.51112800000004;(45.51112800000004, 9.254380500000025)
287;Viel;Gelateria;1948;V.le Monza;222;2;16;GORLA - PRECOTTO;9.224730000000022;45.512109000000066;(45.512109000000066, 9.224730000000022)
288;Antica cartoleria Novecento;Cartoleria;1899;Piazza Risorgimento;3;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.210037500000055;45.46844100000004;(45.46844100000004, 9.210037500000055)
289;Antica farmacia del Lazzaretto;Farmacia;1750;Via Panfilo Castaldi;29;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.203562000000034;45.47652300000004;(45.47652300000004, 9.203562000000034)
290;Autorimessa Cesena;Autorimessa;1950;P.zza Novelli;2;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.218758500000035;45.47038500000008;(45.47038500000008, 9.218758500000035)
291;Bagatti Bottega artigiani bronzisti;Bronzista, lavorazione metalli;1927;Via Casoretto;5;3;20;LORETO - CASORETTO - NOLO;9.225283500000046;45.48888000000005;(45.48888000000005, 9.225283500000046)
292;Cappelleria Mutinelli;Abbigliamento, cappelli e accesori;1888;C.so Buenos Aires;5;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.206293500000072;45.475992000000076;(45.475992000000076, 9.206293500000072)
293;Castiglioni;Merceria Abbigliamento;1951;Via Giovanni Pascoli;18/A;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.220185000000072;45.47452500000003;(45.47452500000003, 9.220185000000072)
294;Cicli Coss;Riparazione e vendita biciclette;1945;Via Canaletto;1;3;22;CITTA' STUDI;9.227610000000027;45.46984500000008;(45.46984500000008, 9.227610000000027)
295;Cinefoto Susa;Foto ottica;1935;P.le Susa;13;3;22;CITTA' STUDI;9.224662500000022;45.46871100000004;(45.46871100000004, 9.224662500000022)
296;Cuoccio Giuseppe restauri antichità;Restauro mobili antichi;1954;Via Sansovino;28;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.22043700000006;45.47909700000008;(45.47909700000008, 9.22043700000006)
297;Ditta Davide Collini di F.lli Bugada;Casalinghi, coltelleria;1883;C.so Buenos Aires;8;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.206671500000027;45.475857000000076;(45.475857000000076, 9.206671500000027)
298;Farmacia Dott. Marinoni;Farmacia;1901;C.so Buenos Aires;55;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.212548500000025;45.48217500000004;(45.48217500000004, 9.212548500000025)
299;Farmacia Mazzoleni;Farmacia;1908;Via N. Piccinni;1-Mar;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.21637871400003;45.48200632600003;(45.48200632600003, 9.21637871400003)
300;Gioielleria Brunetti;Gioielleria Orologeria;1925;Via Rombon;33;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.241182000000038;45.486432000000036;(45.486432000000036, 9.241182000000038)
301;Gioielleria Cortelazzi;Gioielleria, orologeria, agenteria;1953;Galleria Buenos Aires;3;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.210127500000056;45.47909700000008;(45.47909700000008, 9.210127500000056)
302;Gioielleria del Corso;Gioielleria, orologeria;1958;Piazza Lima;3;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.210991500000034;45.48060000000004;(45.48060000000004, 9.210991500000034)
303;Grancini Vini e Liquori;Vini e liquori;1938;Via Lazzaro Spallanzani;18;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.207648000000063;45.47604600000005;(45.47604600000005, 9.207648000000063)
304;Guerrini merceria maglieria;Merceria, maglieria, intimo;1931;Via Sansovino;1;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.217534500000056;45.47921400000007;(45.47921400000007, 9.217534500000056)
305;Gusella;Abbigliamento, calzature, access. bambino;1952;Via Casati Felice;2;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.207270000000051;45.47713500000003;(45.47713500000003, 9.207270000000051)
306;Il Grifo d'oro Enoteca;Enoteca;1937;Via Porpora;157;3;20;LORETO - CASORETTO - NOLO;9.231934500000023;45.486207000000036;(45.486207000000036, 9.231934500000023)
307;Il punto pane…e non solo quello;Panificio;1944;Via Vallazze;34;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.223236000000043;45.484128000000055;(45.484128000000055, 9.223236000000043)
308;Impresa Speranza srl Servizi di pulizia;Impresa di pulizie;1900;Via Ronchi;16-Jun;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.237289500000031;45.48764700000004;(45.48764700000004, 9.237289500000031)
309;La Musicale del M° G. Guerrini;Strumenti Musicali;1964;Via G. C. Procaccini;63;8;69;SARPI;9.167229000000077;45.48127500000004;(45.48127500000004, 9.167229000000077)
310;La Stilografica Penne Timbri Targhe;Penne, timbri e targhe;1926;C.so Buenos Aires;53;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.212319000000036;45.48193200000003;(45.48193200000003, 9.212319000000036)
311;Lucchino;Abbigliamento;1948;Via Carlo Forlanini;19;3;22;CITTA' STUDI;9.232146000000057;45.471888000000035;(45.471888000000035, 9.232146000000057)
312;Macelleria Eredi Bottini Andrea;Macelleria;1936;Via Briosi;10;3;22;CITTA' STUDI;9.228766500000063;45.47053800000003;(45.47053800000003, 9.228766500000063)
313;Macelleria Pellegrini;Macelleria;1949;Via Spallanzani;6;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.206473500000072;45.475344000000064;(45.475344000000064, 9.206473500000072)
