id;TARGA;GENERE MERCEOLOGICO;ANNO_ISTITUZIONE;INDIRIZZO;CIVICO;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
42;Cadè;Abbigliamento;1926;Galleria Vittorio Emanuele;5;1;1;DUOMO;9.190007877000028;45.465624467000055;(45.465624467000055, 9.190007877000028)
43;Caffè e Tabacchi Molino delle Armi;Bar Tabacchi;1936;Via S. Croce;2;1;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.183429000000046;45.45658800000007;(45.45658800000007, 9.183429000000046)
44;Caffè Pasticceria Cucchi;Pasticceria Caffetteria;1934;Corso Genova;1;1;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.177403500000025;45.45835200000005;(45.45835200000005, 9.177403500000025)
45;Camiceria Ambrosiana;Camicie su misura;1954;Via Soncino;1;1;1;DUOMO;9.182614500000057;45.46021500000006;(45.46021500000006, 9.182614500000057)
46;Camiceria Milanese;Vendita di Biancheria, Maglieria, Camicie;1922;Via Dogana;2;1;1;DUOMO;9.189099000000056;45.46333800000008;(45.46333800000008, 9.189099000000056)
47;Cantina Piemontese;Ristorante;1908;Via Laghetto;2;1;1;DUOMO;9.195367500000032;45.461628000000076;(45.461628000000076, 9.195367500000032)
48;Cappelleria Melegari;Cappelleria, berretti;1914;Via Sarpi Paolo;9;1;69;SARPI;9.179680500000075;45.48163500000004;(45.48163500000004, 9.179680500000075)
49;Carati Ambrogio snc Bronzista;Bronzista;1894;Via Cesare da Sesto;1;1;7;MAGENTA - S. VITTORE;9.173821500000031;45.45681300000007;(45.45681300000007, 9.173821500000031)
50;Cartoleria Adua;Cartoleria;1947;Via Larga;8;1;1;DUOMO;9.193036500000062;45.46225800000008;(45.46225800000008, 9.193036500000062)
51;Cartoleria De Magistris;Cartoleria;1887;Via Meravigli;12;1;1;DUOMO;9.182808000000023;45.46584000000007;(45.46584000000007, 9.182808000000023)
52;Cartoleria Donzelli;Cartoleria;1930;Via Maddalena;5;1;1;DUOMO;9.188365500000032;45.45947700000005;(45.45947700000005, 9.188365500000032)
53;Cartoleria F.lli Merlo;Cartoleria;1930;Via Vincenzo Monti;2;1;7;MAGENTA - S. VITTORE;9.175446000000022;45.46634400000005;(45.46634400000005, 9.175446000000022)
54;Cartoleria Venezia;Cartoleria;1936;Corso Venezia;37;1;4;GUASTALLA;9.20049750000004;45.47026800000003;(45.47026800000003, 9.20049750000004)
55;Casalinghi Fornaro;Casalinghi;1945;P.za San Nazaro in Brolo;15;1;1;DUOMO;9.193009500000073;45.45817200000005;(45.45817200000005, 9.193009500000073)
56;Cavalleri;Oreficeria, gioielleria;1833;Via Vincenzo Monti;9;1;7;MAGENTA - S. VITTORE;9.174051000000077;45.46701000000007;(45.46701000000007, 9.174051000000077)
57;Centenari;Stampe, riproduzioni d'arte, dipinti, cornici;1860;Galleria Vittorio Emanuele;92;1;1;DUOMO;9.190007877000028;45.465624467000055;(45.465624467000055, 9.190007877000028)
58;Ceratina;Casalinghi;1919;Via Camperio Manfredo;1;1;1;DUOMO;9.183476941000038;45.46614836300006;(45.46614836300006, 9.183476941000038)
59;Chiaravalli;Orologeria, gioielleria;1915;Via Valpetrosa;1;1;1;DUOMO;9.185427000000061;45.462447000000054;(45.462447000000054, 9.185427000000061)
