id_area;municipio;area;localita;obj_id;codice;descrizione_codice;data_ini;LONG_X_4326;LAT_Y_4326;Location
3_050;3;50;giardino Polotti Giulio;211817;P214272;Tavolo da pic nic;2013/07/17;9.2200155792;45.4836317078;(45.4836317078, 9.2200155792)
3_050;3;50;giardino Polotti Giulio;211818;P214272;Tavolo da pic nic;2013/07/17;9.2200154365;45.4835950679;(45.4835950679, 9.2200154365)
4_131;4;131;parco Cassinis;214048;P214272;Tavolo da pic nic;2013/09/30;9.2327113966;45.4340636138;(45.4340636138, 9.2327113966)
4_131;4;131;parco Cassinis;214049;P214272;Tavolo da pic nic;2013/09/30;9.2327122466;45.4340276294;(45.4340276294, 9.2327122466)
4_131;4;131;parco Cassinis;214050;P214272;Tavolo da pic nic;2013/09/30;9.2332022481;45.4336644227;(45.4336644227, 9.2332022481)
4_131;4;131;parco Cassinis;214051;P214272;Tavolo da pic nic;2013/09/30;9.2332062553;45.433621736;(45.433621736, 9.2332062553)
4_131;4;131;parco Cassinis;214052;P214272;Tavolo da pic nic;2013/09/30;9.2336133923;45.4333054947;(45.4333054947, 9.2336133923)
4_131;4;131;parco Cassinis;214053;P214272;Tavolo da pic nic;2013/09/30;9.2337683642;45.4322858757;(45.4322858757, 9.2337683642)
4_165;4;165;parco Formentano;214273;P214272;Tavolo da pic nic;2013/12/24;9.2150283745;45.4616422578;(45.4616422578, 9.2150283745)
4_165;4;165;parco Formentano;214274;P214272;Tavolo da pic nic;2013/12/24;9.2148962537;45.461815032;(45.461815032, 9.2148962537)
7_244;7;244;parco Aldo Aniasi;216004;P214272;Tavolo da pic nic;2014/04/11;9.1055218037;45.4905793721;(45.4905793721, 9.1055218037)
7_244;7;244;parco Aldo Aniasi;216005;P214272;Tavolo da pic nic;2014/04/11;9.1055980178;45.4906209746;(45.4906209746, 9.1055980178)
2_258;2;258;giardino Franca Rame;218354;P214272;Tavolo da pic nic;2014/05/17;9.2369635311;45.5144853074;(45.5144853074, 9.2369635311)
2_258;2;258;giardino Franca Rame;218355;P214272;Tavolo da pic nic;2014/05/17;9.2369946305;45.5144611254;(45.5144611254, 9.2369946305)
2_258;2;258;giardino Franca Rame;218356;P214272;Tavolo da pic nic;2014/05/17;9.2369865973;45.5144297158;(45.5144297158, 9.2369865973)
7_389;7;389;parco delle Cave;220506;P214272;Tavolo da pic nic;2014/08/14;9.1022363382;45.4630571124;(45.4630571124, 9.1022363382)
7_389;7;389;parco delle Cave;220507;P214272;Tavolo da pic nic;2014/08/14;9.1018359454;45.4630389258;(45.4630389258, 9.1018359454)
7_389;7;389;parco delle Cave;220508;P214272;Tavolo da pic nic;2014/08/14;9.1018244679;45.4627541352;(45.4627541352, 9.1018244679)
7_389;7;389;parco delle Cave;220509;P214272;Tavolo da pic nic;2014/12/01;9.1022218108;45.4627245997;(45.4627245997, 9.1022218108)
9_111;9;111;via Maffucci n. 60;220559;P214272;Tavolo da pic nic;2014/06/10;9.172178566;45.5023353227;(45.5023353227, 9.172178566)
9_111;9;111;via Maffucci n. 60;220560;P214272;Tavolo da pic nic;2014/06/10;9.1721183289;45.5022934989;(45.5022934989, 9.1721183289)
9_111;9;111;via Maffucci n. 60;220561;P214272;Tavolo da pic nic;2014/06/10;9.1721986813;45.5022645033;(45.5022645033, 9.1721986813)
